name,email,standard,gender,avg_sat_score,avg_pat_score,attendance,category
Michael Dixon,patricia60@yahoo.com,10,Female,96.0,47.0,88.7,Medium
Michael Jones,amytorres@gmail.com,12,Female,40.0,24.7,98.5,Low
Amanda Floyd,jason47@berger.org,9,Female,74.9,40.2,79.6,Medium
Christine Garcia,aprilsmith@yahoo.com,11,Male,50.7,31.2,86.9,Low
James Griffith,fglover@chambers-robinson.com,9,Female,65.8,44.5,93.4,Medium
John Cunningham,youngjerry@martin.com,11,Male,64.4,32.5,78.7,Medium
Laura Black,dperry@hamilton.com,11,Female,90.5,31.3,100.0,Medium
Randall Baxter,maynardnathan@hartman-williams.com,10,Female,74.1,31.5,89.2,Medium
Lisa Owens MD,goodmanalexandra@oneal-king.com,10,Male,86.6,40.3,98.1,High
Pamela Ruiz,tyler31@gmail.com,12,Female,67.3,32.2,92.0,Medium
Stephanie Knight,beverlyblack@hodge-davis.biz,10,Male,90.8,33.6,84.4,Medium
Lisa Robinson,jenniferjones@chavez-carey.biz,8,Female,75.1,40.0,75.1,Medium
Samuel Nelson,stanleycohen@gmail.com,8,Male,78.5,44.8,91.4,Medium
Jamie Garcia,williamwaters@ward.com,9,Male,52.8,39.3,71.4,Low
Jacob Elliott,sandrapowell@gmail.com,8,Female,89.6,35.3,73.6,Low
David Walters,halljackie@aguirre-strickland.com,9,Female,61.1,31.5,72.8,Low
Gerald Hernandez,lori07@huff.com,12,Male,41.7,25.8,91.5,Low
Tiffany Jackson,reedcaroline@murphy.org,12,Male,74.0,45.1,85.6,Medium
Kathleen Allen,todd31@hotmail.com,9,Female,54.9,29.8,91.1,Low
Jessica Price,tonya30@hotmail.com,9,Male,72.9,36.4,95.0,Medium
Kara Cannon MD,fmatthews@hotmail.com,9,Female,88.7,31.5,92.1,Medium
Miranda Trujillo,lauraguzman@hotmail.com,10,Male,62.9,40.2,79.7,Medium
Joshua Mccoy,davishannah@martinez.com,12,Male,81.4,24.9,70.2,Low
Mr. Derek Edwards,robin64@yahoo.com,9,Male,78.8,39.1,80.6,Medium
Rodney Wilkins,denise94@scott.com,8,Female,76.6,31.9,97.6,Medium
Jeffery Benson,ibest@robinson.com,12,Male,50.3,32.9,81.6,Low
Richard Newman,cherylwilliams@gomez-riley.biz,11,Female,83.3,47.6,94.3,High
Wesley Christensen,aterry@gmail.com,10,Male,55.3,34.4,99.4,Low
Louis Powell,michael09@brady-jones.net,10,Male,84.4,29.4,81.7,Low
Suzanne Harrington,michaelmcgrath@horn.com,12,Female,69.9,43.3,76.2,Medium
Robert Ward,nkaufman@bennett-jacobs.com,11,Female,72.1,50.0,92.8,Medium
Albert Lopez,lawsonzachary@johnson-espinoza.com,11,Female,88.1,31.8,72.3,Low
Christopher Jackson,parkertracy@harris.com,11,Male,63.0,27.1,92.1,Low
Matthew Harrison,tbarrera@yahoo.com,10,Female,48.2,31.9,79.8,Low
Stephanie Pratt,kwalsh@yahoo.com,10,Female,56.4,37.1,74.7,Low
Melinda Lam,medinasarah@yahoo.com,12,Male,54.3,24.6,94.3,Low
Amanda Zamora,brett24@gmail.com,8,Female,77.9,34.6,91.7,Medium
Robert Castillo,nicholasdean@hotmail.com,8,Male,72.6,33.6,98.0,Medium
Stephanie Dorsey,clintonmeyer@tran.com,10,Male,71.3,29.7,73.3,Low
Jason Adams,melissa83@williams.com,9,Female,65.8,39.3,72.5,Low
Wesley Patton,daviscarolyn@nichols-ramos.com,11,Female,50.9,35.0,64.4,Low
Zachary Mack,copelandgabrielle@collins.biz,11,Male,69.7,28.5,78.6,Low
Stacey Kim,jessicahahn@gmail.com,12,Female,52.2,43.8,81.8,Low
Ashley Myers,kimberly31@hotmail.com,9,Male,62.8,41.3,79.0,Medium
William Webb,rosefriedman@davis.com,8,Male,48.7,30.6,87.2,Low
Stephanie Parks,kathrynbrown@vazquez-johnson.info,10,Male,69.5,42.9,92.8,Medium
Jessica Schmitt,medinashawn@cruz-butler.com,9,Male,64.5,29.7,96.9,Low
Brittany Hall,youngryan@yahoo.com,9,Male,54.7,40.2,95.2,Low
John Lewis DDS,matthew48@hill-fuller.com,8,Female,58.5,38.4,88.5,Low
Joann Daniels,imiller@mason.biz,11,Female,50.5,35.0,74.4,Low
Kimberly Gilmore,ronald78@meyers.com,10,Female,59.2,29.3,93.4,Low
Marie Esparza,batesmichael@yahoo.com,12,Female,93.0,38.0,65.6,Low
Stanley Hall,cooperkatherine@yahoo.com,8,Female,78.1,39.7,82.5,Medium
Brandon Barnes,holderlarry@carney-parker.biz,11,Female,88.1,35.3,94.8,Medium
Leah Best,jenniferbonilla@campbell-smith.com,12,Female,81.1,42.7,71.6,Low
Johnathan Snyder,wesleyaguilar@hotmail.com,8,Female,85.0,23.9,76.6,Low
Terri Owen,daniellee@gmail.com,11,Female,64.7,39.5,94.6,Medium
Michael Flores,matthewkim@kelly.biz,10,Male,69.8,37.6,94.8,Medium
Matthew Smith,tcampbell@hickman-smith.biz,11,Female,58.3,38.9,81.8,Low
Kimberly Sellers,anthonybailey@yahoo.com,12,Female,87.2,39.8,72.4,Low
Brian Frey,kmitchell@yahoo.com,10,Female,79.1,27.7,76.8,Low
Mary Taylor,kathleenmiller@gmail.com,12,Female,50.3,38.1,80.7,Low
Alexander Patterson,patrick95@scott-booth.com,8,Male,63.9,36.3,97.6,Medium
Heather Bean,rollinsmichele@munoz.com,12,Female,84.0,27.4,88.4,Low
Anthony Rogers,nicolejacobs@yahoo.com,8,Male,62.6,38.8,87.0,Medium
Elizabeth Rodriguez,ytaylor@gmail.com,9,Male,53.5,31.8,92.8,Low
Margaret Wright,lisacontreras@moore.com,10,Female,58.8,28.8,87.7,Low
Kelly Munoz,perezvictoria@yahoo.com,9,Female,80.9,27.6,82.3,Low
Terry Sanchez,rmartin@martinez.com,11,Female,66.8,31.2,78.4,Medium
Margaret Gill,troberts@hotmail.com,11,Female,82.2,42.1,86.4,Medium
Andrew Stanton,vorozco@gmail.com,9,Female,78.3,29.7,79.6,Low
David Jones,lisa91@reed.com,11,Female,73.7,35.4,66.8,Low
Kelly Stephenson,rachelhartman@hotmail.com,8,Male,71.3,26.5,94.5,Low
Joshua Stout,uthompson@robinson-thomas.com,11,Male,68.2,33.2,91.4,Medium
Nicholas Kramer,utaylor@yahoo.com,10,Female,43.7,40.2,78.3,Low
Sara Hobbs,thomascurry@hotmail.com,12,Female,53.7,37.7,94.8,Low
Kristen Morgan,steve99@brown.biz,9,Female,70.7,43.6,74.1,Low
Anthony Hicks,shernandez@yahoo.com,8,Male,68.4,33.2,89.9,Medium
Patrick Baxter,martinezdavid@gmail.com,10,Female,61.2,36.8,95.3,Medium
Lori Rivera,julie67@hotmail.com,10,Male,78.7,31.9,84.9,Medium
Dean Montgomery,michael49@brown.net,10,Male,78.5,35.6,100.0,Medium
Patrick Maldonado,rachelrowland@hotmail.com,11,Female,62.9,41.3,80.8,Medium
Jennifer Miller,aprilcarr@gonzales.info,10,Female,63.0,20.4,80.4,Low
Kayla Burns,sallygalloway@parks-hays.info,8,Male,77.5,26.8,70.8,Low
Angela French,pinedaadam@hotmail.com,8,Female,47.4,33.1,89.2,Low
Hannah Arnold,ysmith@nolan.org,11,Male,57.9,39.8,88.5,Low
Ann Wilson,dwoods@smith-stephenson.com,10,Male,66.9,30.8,89.3,Medium
Alexandra Jackson,monica20@arias.info,8,Female,71.3,25.1,71.1,Low
Carol Baker,lindsayvalenzuela@garcia.com,11,Female,53.3,39.0,83.0,Low
Meredith Shelton,alyssa25@hotmail.com,9,Female,70.0,34.3,87.6,Medium
Logan Brewer,sberry@hotmail.com,9,Female,70.6,33.3,90.8,Medium
Kathryn Garcia,andrewjones@hotmail.com,9,Male,79.2,26.7,62.4,Low
John Hernandez,grobinson@yahoo.com,10,Male,54.3,24.7,88.9,Low
Katherine Patel,brentcase@yahoo.com,12,Male,68.3,25.7,90.4,Low
Nicole Vance,anna82@mann.net,8,Female,69.1,30.9,97.7,Medium
Linda Carrillo,brooke45@yahoo.com,11,Female,65.2,34.8,100.0,Medium
Katrina Hanson,sharon03@gmail.com,11,Female,78.4,27.4,93.0,Low
Mr. Jason Lewis,williamsanna@hotmail.com,9,Male,77.4,33.6,81.5,Medium
Tara Galloway MD,christine39@gmail.com,11,Male,67.3,43.4,71.4,Low
Noah Horn,mark64@riley.com,12,Male,88.8,36.0,69.4,Low
Alan Macdonald,ojohnston@yahoo.com,9,Female,79.3,43.3,88.4,Medium
Heather Ray,nicolenichols@rodgers.com,10,Female,66.3,47.5,83.2,Medium
Charles Bennett,rhonda27@smith.info,8,Female,61.0,24.6,81.4,Low
Andrew Summers,kaitlyn88@yahoo.com,12,Male,81.6,44.0,83.7,Medium
Heather Foster,qkelley@yahoo.com,10,Female,73.2,41.5,62.4,Low
Elizabeth Hill,oscar49@yahoo.com,8,Female,63.8,27.5,79.0,Low
Miguel Hurst,rileystephen@gmail.com,9,Female,67.3,22.8,70.9,Low
Savannah Wood MD,brooke14@fuentes-ford.com,12,Female,58.2,40.1,72.6,Low
Leslie Roberts,montgomeryjulia@yahoo.com,9,Female,76.1,34.3,75.0,Medium
Juan Dodson,kellerjoshua@gmail.com,8,Male,46.6,24.5,76.8,Low
Evan Thompson,lewisdeborah@gmail.com,8,Male,69.9,33.6,82.0,Medium
Rachel Phillips,katiemedina@scott.com,10,Male,76.7,29.4,93.3,Low
Joshua Boyd,karihorne@mcconnell.net,10,Female,52.5,37.4,87.4,Low
Jamie White,nrodriguez@yahoo.com,9,Male,79.7,31.6,91.0,Medium
Kimberly Murray,jessica06@gmail.com,8,Male,81.8,28.4,98.9,Low
Angela Hall,cameronthomas@hotmail.com,8,Male,77.3,39.7,88.2,Medium
Alan Roth,mitchellkristin@warren.com,9,Male,62.6,40.9,91.6,Medium
Tony Casey,torresrobert@gmail.com,10,Female,77.9,41.1,77.8,Medium
Melissa Watts,fthompson@mason.com,12,Male,55.6,36.2,93.5,Low
Daniel Carlson,anash@yahoo.com,8,Female,76.0,32.9,79.9,Medium
Carolyn Martinez,wangrichard@flores-mack.com,11,Female,76.0,33.6,90.9,Medium
Kayla Campbell,yphillips@davis.com,8,Female,58.4,39.5,81.5,Low
Betty Mcdowell,laura28@gmail.com,10,Male,65.4,25.8,96.8,Low
Maria Hogan,scottmoran@gray-lindsey.info,9,Male,73.3,43.6,75.1,Medium
Andrea Bowman,timothybanks@gmail.com,10,Male,61.3,38.5,89.8,Medium
Juan Potter,rileypeter@potter.org,10,Male,58.9,34.7,89.5,Low
Andrew Johnston,ruizmark@nguyen.com,12,Female,70.7,26.6,88.9,Low
David Peterson,donnacoleman@gmail.com,11,Female,65.9,34.4,95.6,Medium
Christopher Walton,david87@hotmail.com,8,Female,75.6,39.6,93.6,Medium
Nathaniel Stevens,hansenwalter@gmail.com,10,Male,77.6,20.0,96.9,Low
Shirley Roman,adamsjudy@noble.com,12,Male,51.4,32.0,75.9,Low
Tracey Johnson,thomas55@byrd.biz,12,Female,60.9,47.3,82.6,Medium
Ana Hall,danielerin@rodriguez.info,12,Male,70.2,30.8,94.3,Medium
Lynn Cannon,qwalters@gmail.com,9,Male,61.5,30.8,69.9,Low
Eric Stevenson Jr.,ccobb@anderson.org,9,Male,40.0,31.7,72.0,Low
Lori Adams,umiller@avery.biz,10,Male,90.1,26.9,77.7,Low
Jason Nelson,brightjames@hotmail.com,12,Male,51.3,31.4,79.1,Low
Anthony Brown,alec81@rivera.com,11,Male,69.6,30.4,94.8,Medium
Heidi Gibson,nmoore@yahoo.com,8,Male,51.9,42.3,98.7,Low
Anthony Tran,stevensondavid@yahoo.com,12,Female,78.9,33.6,90.3,Medium
Nicholas Avery,anthony70@henry-bryant.info,10,Female,57.4,38.8,92.4,Low
Erin Buckley,alan25@howard.com,11,Female,77.1,41.3,85.5,Medium
Benjamin Mccullough,kjones@hood.com,11,Male,66.3,40.1,100.0,Medium
Stephanie Jones,martinchristopher@hansen.com,10,Female,93.7,36.2,99.7,Medium
Henry Weaver,bakeradam@hayes-weber.info,12,Male,64.4,38.6,82.5,Medium
Steven Summers,watsonmatthew@george.com,9,Female,61.1,34.1,82.6,Medium
Kevin Banks,pamelacole@gmail.com,10,Male,69.3,26.5,82.1,Low
Marilyn Burke,moralesjason@yahoo.com,11,Female,44.3,40.4,78.9,Low
Michael Webb,xmartinez@allen.com,10,Female,86.6,37.9,65.1,Low
Angela Ruiz,jonesalexander@gmail.com,12,Male,58.7,38.7,71.0,Low
Thomas Warren,jlang@yahoo.com,9,Male,66.7,32.8,83.2,Medium
Stacy Hays,cheyenne45@davis-duke.com,10,Male,82.1,39.6,83.8,Medium
Melissa Watson,margaret01@bonilla-nguyen.com,8,Female,54.7,41.2,83.3,Low
Angela George,jasonkirby@mitchell.com,9,Female,83.8,44.9,82.5,Medium
Natasha Martinez,nwatts@yahoo.com,8,Female,84.2,42.6,89.2,Medium
Monica Sanchez,fosterteresa@hotmail.com,12,Female,74.3,20.0,89.3,Low
Nicole Leach,mwhite@yahoo.com,12,Male,55.0,39.4,83.0,Low
Jason Smith,jennifergreen@thompson.com,10,Female,60.4,20.0,94.8,Low
David Weaver,rbrennan@martin.com,12,Male,79.1,33.2,67.8,Low
Jordan Martin,jwheeler@gross.com,9,Male,64.1,32.3,89.4,Medium
Kenneth Lee,rgalvan@hotmail.com,10,Female,58.6,20.0,87.3,Low
Scott Hamilton,xshelton@gmail.com,12,Female,73.2,37.3,74.3,Low
Cassandra Smith,xcampos@perry.info,12,Male,74.2,30.7,100.0,Medium
Daniel Randall,cindy49@lloyd.com,9,Male,57.0,26.6,90.6,Low
Dalton Cooper,jeremy28@bradshaw.com,9,Female,76.9,42.5,67.6,Low
Stephen Villanueva,baldwinrobert@gmail.com,10,Female,63.5,33.9,70.0,Low
Katherine Moses,collinsdavid@hotmail.com,8,Male,92.2,35.5,89.3,Medium
Albert Bradley,morrisjulia@smith.com,10,Female,59.4,27.2,100.0,Low
Emily Boyer,michael62@gmail.com,10,Male,61.1,39.8,90.1,Medium
Brandy Robinson,chapmananna@nguyen.com,9,Male,76.6,28.7,83.3,Low
John Holt,mlewis@gmail.com,11,Female,68.0,35.4,86.7,Medium
Laurie Parker,amyramos@bell.info,11,Female,85.7,30.8,73.9,Low
Catherine Lewis,marcobryant@williams.com,12,Male,59.3,33.7,99.4,Low
John Kane,lopezrobert@jennings.info,8,Male,73.6,22.0,100.0,Low
Arthur Gonzalez,edaniel@gmail.com,8,Male,60.9,34.9,78.6,Medium
Ann Jones,melanie18@hale.info,11,Male,70.8,23.4,72.3,Low
Brooke Thomas,hoganmarie@abbott-evans.com,9,Female,67.9,20.0,81.3,Low
Robert Wilson,mcintyreteresa@yahoo.com,10,Male,48.4,26.5,75.1,Low
Virginia Farmer,qavila@moody.com,12,Female,65.0,41.5,95.1,Medium
Cody Dominguez,tramirez@gonzalez-evans.com,12,Male,66.6,31.8,89.2,Medium
Angela Barrett,tprince@henderson-ross.com,12,Male,81.6,36.9,90.7,Medium
Alexander Brown,madeline56@bright-hunt.com,8,Female,84.1,39.9,70.6,Low
Jordan Hayes,johncantu@gmail.com,12,Male,48.9,31.6,95.0,Low
Samantha Wong,melissabrown@mcknight.com,10,Female,66.0,31.2,81.4,Medium
Thomas Johnson,zsnyder@gmail.com,11,Female,66.1,36.8,90.9,Medium
Heather Howard,kelly60@gmail.com,9,Female,83.9,45.1,82.9,Medium
Alex Wolfe,justinjohnson@erickson.net,10,Male,60.9,34.1,93.0,Medium
Christina Bonilla,stacy61@hotmail.com,8,Female,69.6,31.0,87.6,Medium
Katelyn Hill,jonescrystal@collier-williams.com,8,Female,80.3,48.6,87.8,Medium
Reginald Weiss,mark62@grant-richardson.com,9,Male,77.1,34.3,82.9,Medium
Melissa Rice,wesleyfry@sanders.net,9,Female,60.4,34.5,80.6,Medium
Martin Jones,kimberly88@hotmail.com,8,Female,70.6,29.6,81.4,Low
Yesenia Sherman,brobinson@yahoo.com,10,Female,81.8,21.9,75.3,Low
Justin Harris,deborah42@gmail.com,12,Male,67.4,24.3,82.1,Low
Christopher Hamilton,otucker@meyer.com,9,Male,63.9,42.9,97.6,Medium
Jessica Little,alexis77@fuentes-bullock.org,11,Male,93.8,35.9,77.1,Medium
Valerie Hurst,michael68@yahoo.com,11,Female,59.8,38.1,73.3,Low
Carolyn Bauer,lbradley@yang.org,12,Male,83.9,50.0,87.2,Medium
Jason Lewis,randall36@gmail.com,11,Male,70.9,42.1,89.0,Medium
Glenn Mckinney,allenstephen@yahoo.com,12,Female,76.8,42.1,86.4,Medium
Karen Massey,zcase@lee.biz,11,Female,88.0,28.8,91.7,Low
Jonathan Wood,amber81@christensen-henson.com,11,Male,85.5,30.1,80.8,Medium
Gary Rice,christopherhuang@nolan.com,12,Male,64.8,42.4,73.8,Low
Debbie Lowe MD,derrick34@gmail.com,11,Female,65.1,43.2,67.8,Low
James Rivera,marksantos@gmail.com,12,Female,67.7,20.0,83.8,Low
Peter Merritt,brianevans@mcclure.org,9,Male,63.3,32.8,61.6,Low
Jordan Perry,rhondawagner@webb-cook.biz,12,Male,77.4,34.8,100.0,Medium
Kelly Bailey,hilldominique@yahoo.com,11,Female,64.3,43.3,87.3,Medium
Rebekah Bennett,steven20@obrien.info,11,Female,74.0,37.1,85.5,Medium
Christopher Fowler,nathan67@gmail.com,8,Female,82.4,34.8,84.7,Medium
Nina Bryant,judith01@hotmail.com,11,Male,92.2,43.6,97.0,High
Donna Banks,john62@robles-castillo.com,12,Male,61.2,39.8,76.8,Medium
Rachel Banks,ruizkristine@hotmail.com,12,Male,54.0,34.3,75.3,Low
Mary Hamilton,lisa20@palmer-davies.net,10,Female,57.9,34.2,88.7,Low
John Lee,bmcdowell@bennett-golden.com,12,Male,76.1,36.3,99.6,Medium
Dominique Nelson,timothy53@hotmail.com,9,Male,81.9,34.8,72.7,Low
Thomas Camacho,deborah38@yahoo.com,11,Female,59.3,36.0,78.8,Low
Chad Stevens,emilymann@gmail.com,12,Female,79.3,29.1,81.4,Low
Natalie Medina,millerfrederick@duncan-fuller.net,8,Male,81.6,38.7,66.7,Low
Heather Bean,johnsonbethany@yahoo.com,9,Male,68.7,28.1,71.5,Low
Michelle Nelson,hpetersen@gmail.com,9,Male,61.1,34.7,82.9,Medium
Zachary Andrade,smithrobert@yahoo.com,10,Male,66.7,20.3,90.0,Low
Andrea Miles,hmartinez@yahoo.com,11,Female,60.4,42.7,82.1,Medium
Clarence Carpenter,mpham@steele-jackson.com,12,Male,77.5,40.1,78.0,Medium
Thomas Moore,brianjones@gmail.com,10,Male,61.0,31.5,68.0,Low
Melissa Taylor,claudia25@peterson-wu.com,11,Male,63.4,33.7,98.6,Medium
Jasmine Huynh,brownrodney@chambers.com,8,Female,52.5,50.0,94.6,Low
Patrick Oliver,carol77@gomez-sandoval.com,11,Male,78.7,33.8,88.4,Medium
Robin Castillo,madisongarcia@lewis.info,12,Male,64.8,50.0,72.2,Low
Antonio Aguilar,wellis@yahoo.com,10,Male,69.0,29.4,60.0,Low
Antonio Becker,sturner@brown-wolf.com,9,Female,63.0,27.5,88.6,Low
Mark Hull,greenallen@hotmail.com,11,Female,56.1,24.0,94.9,Low
Duane Lee,xholmes@hotmail.com,11,Female,46.2,34.4,92.1,Low
Ryan Perez,valeriewilliams@johns-george.biz,9,Male,75.6,41.5,82.5,Medium
Martin Anderson,garciajacob@johnson.net,10,Male,73.0,42.4,83.8,Medium
Brittany Turner,wjones@hotmail.com,11,Male,79.3,35.0,94.8,Medium
Debra Henry,bdaniels@gmail.com,12,Male,88.2,35.3,80.2,Medium
Donna Morris,lfisher@wright.com,12,Female,61.8,36.4,85.3,Medium
Amanda Mack,donnapena@williams.com,11,Male,61.5,32.5,79.2,Medium
Jacqueline Mcclain,kelliwalsh@gmail.com,9,Female,75.3,35.9,74.8,Low
Sherri Soto,kwright@hotmail.com,11,Female,68.2,37.8,86.8,Medium
Teresa Fisher,hillbonnie@silva.com,10,Female,77.1,38.2,87.8,Medium
Alexandra Young,nathan90@martin-nguyen.org,11,Male,65.4,33.5,77.5,Medium
Kim Morrison,stevenbarrett@yahoo.com,12,Male,54.9,33.8,72.2,Low
Shannon Newman,michael92@gmail.com,12,Female,74.2,31.9,88.2,Medium
Melissa Petty MD,bellsean@rivera-jones.com,11,Female,79.0,39.4,68.2,Low
Jennifer Moran,sullivanthomas@gmail.com,10,Male,68.6,39.3,89.6,Medium
Dwayne Tucker,erika94@hotmail.com,9,Male,70.9,32.4,80.7,Medium
Patrick Myers Jr.,nicholaswheeler@hotmail.com,9,Female,68.1,34.9,92.8,Medium
Matthew Gray,nwilliamson@hotmail.com,8,Male,68.7,39.1,86.7,Medium
Robert Ruiz,nmiller@spencer-carter.com,11,Female,67.4,38.4,84.6,Medium
Shawn Johnson,smithelizabeth@hubbard.com,8,Female,65.5,46.4,90.4,Medium
Robert Haynes,matthewatkinson@garcia-duran.org,11,Male,53.2,38.2,72.5,Low
Angela Michael,gilbertstephanie@gmail.com,9,Male,81.4,35.6,83.6,Medium
Kenneth Davis,julie58@sullivan.com,12,Male,98.1,38.1,95.5,Medium
Andrea Smith,michael23@smith-beck.com,8,Female,53.7,36.9,96.9,Low
Laura George,olawson@yahoo.com,10,Male,58.7,50.0,74.2,Low
Benjamin Osborne,westthomas@hotmail.com,12,Female,57.9,37.6,76.9,Low
Alexander Peters,holtwilliam@ross-mccarthy.com,8,Female,58.2,40.1,80.8,Low
Nicole Williams,smithmichelle@brown-smith.net,10,Male,84.5,39.7,83.4,Medium
